"customer_id","region","age","income_k","tenure_months","contract_type","payment_method","auto_pay","promo_eligible","primary_channel","brand_loyalty","deal_seeking","eco_consciousness","innovation_orientation","avg_usage_minutes","num_support_tickets","satisfaction_score","monthly_fee","email_click_rate","promo_response_rate","online_visits","num_transactions_12m","avg_order_value","total_spend_12m","recency_days","loyalty_tier","churn_probability_true","churned","margin_per_month","retention_rate","discount_rate_monthly","acq_cost","clv_gross","clv_net","segment"
"C00001","Midwest",28,87.7,14,"Quarterly","PayPal",1,0,"Email",4.35,4.29,3.3,3.18,251,1,7.4,52.85,0.51,0.342,4,5,106.85,576.47,93,"Silver",0.5498,0,34.89,0.55,0.01,18.34,41.72,23.38,4
"C00002","West",29,148.3,23,"Quarterly","Credit Card",0,0,"Email",5.22,4.58,5.32,4.51,230,4,5.7,45.78,0.235,0.108,5,5,155.22,736.47,11,"Silver",0.9451,1,22.51,0.55,0.01,29.21,26.91,-2.3,4
"C00003","South",36,26.5,15,"Monthly","Debit Card",1,1,"SMS",4.79,6.61,4.06,6.65,125,2,6.4,44.76,0.336,0.213,2,6,67.91,420.47,104,"Silver",0.7786,1,26.48,0.55,0.01,23.19,31.66,8.47,1
"C00004","South",42,77.1,6,"Monthly","Debit Card",1,1,"Email",5.13,7,2.93,4.02,123,3,5.8,46.62,0.156,0.333,5,2,37.9,66.56,121,"Bronze",0.9476,1,25.41,0.55,0.01,22.1,30.38,8.28,1
"C00005","Northeast",48,95.9,16,"Annual","Credit Card",1,0,"Email",4.68,3.5,4.91,3.34,340,2,7.2,35.77,0.029,0.077,4,4,63.88,219.21,0,"Bronze",0.5376,1,21.93,0.55,0.01,16.98,26.22,9.24,2
"C00006","Northeast",29,81.4,25,"Annual","Credit Card",1,1,"Direct",2.94,1.65,2.51,4.82,279,1,7.3,52.91,0.021,0.053,6,4,57.99,253.93,0,"Silver",0.3644,0,30.06,0.69,0.01,15.09,64.82,49.73,2
"C00007","Northeast",54,74.8,11,"Monthly","Debit Card",1,0,"Social",4.73,4.86,5.31,3.05,164,1,7.1,51.81,0.186,0.296,2,2,85.74,194.21,6,"Bronze",0.657,0,29.52,0.55,0.01,43.67,35.3,-8.37,2
"C00008","West",35,41.6,24,"Quarterly","Debit Card",0,0,"Social",4.77,4.4,4.99,6.29,170,1,7.1,50.75,0.09,0.304,4,6,128.3,733.79,38,"Silver",0.5873,0,30.17,0.55,0.01,38.13,36.07,-2.06,4
"C00009","South",38,84.5,16,"Monthly","Debit Card",0,1,"Search",4.97,5.37,5.43,5.94,98,2,6.3,38.48,0.22,0.375,2,0,97.98,0,7,"Bronze",0.8916,1,26.36,0.55,0.01,34.71,31.52,-3.19,2
"C00010","South",30,56.8,24,"Monthly","Debit Card",1,1,"Direct",4.05,4.51,3.73,4.22,195,1,7.1,53.32,0.3,0.539,5,1,124.32,132.42,55,"Bronze",0.5618,1,31.93,0.55,0.01,8.22,38.18,29.96,2
"C00011","Northeast",18,25,19,"Monthly","PayPal",1,0,"Email",3.38,4.26,3.35,3.41,321,1,7.5,47.29,0.136,0.348,6,1,100.54,107.96,44,"Bronze",0.5549,0,27.78,0.55,0.01,22.64,33.22,10.58,3
"C00012","West",48,111.4,8,"Monthly","Debit Card",1,1,"Direct",5.39,5.44,3.99,3.93,177,1,7.2,38.47,0.097,0.19,3,5,25,124.29,32,"Bronze",0.5576,1,21.74,0.55,0.01,11.59,25.99,14.4,2
"C00013","West",46,104.8,13,"Monthly","Credit Card",0,0,"Social",4.4,5.6,3.81,4.07,265,4,5.8,44.67,0.065,0.228,8,5,114.94,594.23,41,"Silver",0.974,1,27.09,0.55,0.01,31.73,32.39,0.66,1
